date,open,high,low,close,adj_close,volume
1/19/2005,75.08986664,104.0599976,104.7200012,103.8099976,104.3300018,3550400
1/20/2005,74.61364746,103.4000015,103.7699966,102.8799973,103.5,3252100
1/21/2005,74.74382782,103.3300018,104.5400009,102.7900009,103.1999969,4581000
1/24/2005,74.67873383,103.2399979,104.5400009,103.0400009,103.3300018,3895400
1/25/2005,74.403862,102.8600006,104.6999969,102.6100006,104.0999985,3365000
1/26/2005,74.6931839,103.2600021,103.5199966,101.7900009,103.1800003,3979900
1/27/2005,75.22846222,104,104.3399963,103.0100021,103.3700027,3479100
1/28/2005,76.76197052,106.1200027,106.7099991,104,104.6500015,5854200
1/31/2005,78.01339722,107.8499985,107.9700012,107.1500015,107.3799973,3826500
2/1/2005,78.41116333,108.4000015,108.9400024,107.3000031,107.6500015,3369200
2/2/2005,78.54862976,108.5899963,108.9700012,107.9899979,108.1500015,2858400
2/3/2005,78.65717316,108.7399979,108.9400024,108.1999969,108.4000015,2933200
2/4/2005,79.5830307,110.0199966,110.3300018,108.7099991,108.7399979,3726700
2/7/2005,79.27199554,109.5899963,110.2099991,109.3300018,110.0199966,2684800
2/8/2005,80.6897583,111.5500031,111.9300003,109.9100037,109.9700012,4222400
2/9/2005,80.61742401,111.4499969,113.3499985,111.3499985,112,4589600
2/10/2005,81.572258,112.7699966,112.9800034,111.75,111.8000031,3585900
2/11/2005,81.572258,112.7699966,113.9300003,112.0699997,112.7799988,3942900
2/14/2005,80.99358368,111.9700012,113.3799973,111.6900024,112.7799988,2267900
2/15/2005,81.52885437,112.7099991,113.1900024,112.25,112.5,2459000
2/16/2005,81.21059418,112.2699966,112.6200027,111.6100006,112.3499985,2228800
2/17/2005,80.00257874,110.5999985,112.8099976,110.5400009,112.5999985,2349400
2/18/2005,78.84523773,109,110.8000031,108.5999985,110.6500015,3331900
2/22/2005,78.02059937,107.8600006,109.2600021,107.5199966,108.0500031,2515000
2/23/2005,78.92482758,109.1100006,109.4100037,108.1699982,108.6200027,2764100
2/24/2005,78.48355103,108.5,109.2099991,108.1299973,108.6500015,1995900
2/25/2005,79.64091492,110.0999985,110.25,108.5299988,108.7300034,2222200
2/28/2005,78.70055389,108.8000031,110.1100006,108.3499985,110,2650000
3/1/2005,79.5830307,110.0199966,110.7600021,108.3899994,108.3899994,2504400
3/2/2005,79.37327576,109.7300034,111.3199997,109.2200012,109.25,2217100
3/3/2005,79.1417923,109.4100037,110.8600006,109,110.4000015,2061300
3/4/2005,80.67529297,111.5299988,112.8300018,110.0299988,110.1999969,3103600
3/7/2005,81.59397125,112.8000031,113.1200027,111.5299988,111.9499969,2543300
3/8/2005,81.47097778,112.6299973,113.1699982,112.0999985,112.8000031,2702600
3/9/2005,80.19788361,110.8700027,112.5,110.8199997,112.5,2718500
3/10/2005,80.53063965,111.3300018,112,110.8199997,111.4499969,2430800
